outcome,analysis,population,exposure_definition,severity_adjustment,weight_strategy,contrast,estimate_type,estimate,CI_lower,CI_upper,interpretation_flag
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.18808067939357354,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.1864142567346072,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,reference,standardized risk,0.14488739336609358,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.15810643698145052,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.18945096226117403,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.18776676522977215,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,reference,standardized risk,0.14667653796142516,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.15882050962991182,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.1916952160258067,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,IPSW weighted fixed-horizon logistic g-computation,primary classifiable,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.19010388102991566,,,point estimate sensitivity; no bootstrap CI requested in this batch
90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.0977485114278402,1.027057278483662,1.1733053448792714,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1011154530532723,1.0248687033059427,1.1830347019493017,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1152091375738482,1.0218397179968057,1.2171100796182734,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1112980972718447,1.0391106046648446,1.1885004882597217,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.0997959775347357,1.0227380325584647,1.1826598343818224,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.125122521644919,1.0300975655129068,1.22891338752199,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1263126932737826,1.0507566900707304,1.2073016474862979,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1157058217796523,1.0352103664901058,1.2024604090601585,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.142721278716409,1.0433137614136934,1.2516003997319902,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,0.9473032490521676,0.8600843237232942,1.0433668198718369,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.2064565569737298,1.0943578953221649,1.3300378514986773,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,0.9640453718045183,0.8498239469206991,1.0936188398377023,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,0.9618437757023213,0.8726149770747279,1.0601966195430899,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.2188253321137676,1.104515437182313,1.344965529854366,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,0.9694500522976943,0.8535649333593474,1.1010684333072716,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,0.979714076951504,0.8863866672282626,1.0828679041149873,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.222821552120452,1.1045962286642297,1.3537005735919487,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,0.9994107578496985,0.8770127568729853,1.1388909170113297,prespecified sensitivity; not a replacement for primary result
365-day mortality,strict-prior psychiatric exposure Model 2 Cox,primary 72h classifiable cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.063425582818144,0.9484874422072399,1.1922919797023723,prespecified sensitivity; not a replacement for primary result
365-day mortality,strict-prior psychiatric exposure Model 2 Cox,primary 72h classifiable cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.410232927100907,1.319844609650016,1.5068114035082902,prespecified sensitivity; not a replacement for primary result
365-day mortality,strict-prior psychiatric exposure Model 2 Cox,primary 72h classifiable cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3888133960840772,1.219839186355536,1.5811942022498828,prespecified sensitivity; not a replacement for primary result
365-day mortality,strict-prior psychiatric exposure fixed-horizon logistic g-computation,primary classifiable,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,reference,standardized risk,0.15635189114544637,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,strict-prior psychiatric exposure fixed-horizon logistic g-computation,primary classifiable,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.16203865278778434,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,strict-prior psychiatric exposure fixed-horizon logistic g-computation,primary classifiable,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.20134938343570583,,,point estimate sensitivity; no bootstrap CI requested in this batch
365-day mortality,strict-prior psychiatric exposure fixed-horizon logistic g-computation,primary classifiable,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,standardized risk,0.19763521045261231,,,point estimate sensitivity; no bootstrap CI requested in this batch
90-day same-system readmission,strict-prior psychiatric exposure Model 2 cause-specific Cox,conservative readmission cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1591851343738906,1.0567825077599426,1.2715106144230865,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,strict-prior psychiatric exposure Model 2 cause-specific Cox,conservative readmission cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1045517346156026,1.0367790940562913,1.1767545675222648,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,strict-prior psychiatric exposure Model 2 cause-specific Cox,conservative readmission cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.17997910536382,1.0470154160364018,1.32982826018561,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,strict-prior psychiatric exposure Model 2 cause-specific Cox,conservative readmission cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,0.9989989108458129,0.8758359188049217,1.1394814969827798,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,strict-prior psychiatric exposure Model 2 cause-specific Cox,conservative readmission cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1851361797292042,1.0862935418453614,1.2929725809813164,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,strict-prior psychiatric exposure Model 2 cause-specific Cox,conservative readmission cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.029013313003965,0.8663289859860679,1.222247455029081,prespecified sensitivity; not a replacement for primary result
365-day mortality,48h delirium definition Model 2 Cox,48h delirium classifiable cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1364050717704663,1.0477011043252036,1.23261919054424,prespecified sensitivity; not a replacement for primary result
365-day mortality,48h delirium definition Model 2 Cox,48h delirium classifiable cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4445292307662265,1.3377381934127803,1.5598453485241806,prespecified sensitivity; not a replacement for primary result
365-day mortality,48h delirium definition Model 2 Cox,48h delirium classifiable cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4549459038548203,1.3258546449736666,1.5966060768192005,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,48h delirium definition Model 2 cause-specific Cox,48h classifiable conservative readmission cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1217225500796122,1.0491100644971187,1.1993607934361437,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,48h delirium definition Model 2 cause-specific Cox,48h classifiable conservative readmission cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1126734097271531,1.0333394499756858,1.1980981822991272,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,48h delirium definition Model 2 cause-specific Cox,48h classifiable conservative readmission cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1289542260001555,1.032529250849244,1.2343840558079269,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,48h delirium definition Model 2 cause-specific Cox,48h classifiable conservative readmission cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.0082262917314588,0.9164733520676386,1.1091650979760799,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,48h delirium definition Model 2 cause-specific Cox,48h classifiable conservative readmission cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.2309231875009181,1.1137581619964412,1.3604137282472835,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,48h delirium definition Model 2 cause-specific Cox,48h classifiable conservative readmission cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,0.9919728750185142,0.8725416051200462,1.1277515925869397,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,full classifiable sensitivity; administrative follow-up completeness not guaranteed,full 72h classifiable cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1060424281176349,1.0404156965501123,1.1758087241981847,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,full classifiable sensitivity; administrative follow-up completeness not guaranteed,full 72h classifiable cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1304351974603999,1.0589190362317666,1.206781342041755,prespecified sensitivity; not a replacement for primary result
90-day same-system readmission,full classifiable sensitivity; administrative follow-up completeness not guaranteed,full 72h classifiable cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1784025063315908,1.0904803523570399,1.2734135593796703,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,full classifiable sensitivity; administrative follow-up completeness not guaranteed,full 72h classifiable cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,0.9882910569501069,0.9048917757738889,1.0793768264854011,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,full classifiable sensitivity; administrative follow-up completeness not guaranteed,full 72h classifiable cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.203858957613639,1.0998931818744904,1.3176519444885288,prespecified sensitivity; not a replacement for primary result
365-day same-system ICU readmission,full classifiable sensitivity; administrative follow-up completeness not guaranteed,full 72h classifiable cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.0646440003603779,0.9519940773798622,1.1906238436093497,prespecified sensitivity; not a replacement for primary result
365-day mortality,exclude hospice sensitivity Model 2 Cox,primary classifiable excluding hospice,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1177887744346853,1.0254502429021626,1.2184420969232779,prespecified sensitivity; not a replacement for primary result
365-day mortality,exclude hospice sensitivity Model 2 Cox,primary classifiable excluding hospice,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3723289123909752,1.2655031995648593,1.488172170905424,prespecified sensitivity; not a replacement for primary result
365-day mortality,exclude hospice sensitivity Model 2 Cox,primary classifiable excluding hospice,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.365380035402121,1.2363052067501215,1.5079307527752706,prespecified sensitivity; not a replacement for primary result
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1289810828240074,1.0416918839114153,1.2235847327412404,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4554380971573988,1.3512398145408724,1.567671431719107,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.448958185165427,1.324287656764118,1.5853653937150958,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1178758374277438,1.0462443728850446,1.1944115737118364,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1209827437576152,1.0439672177215025,1.2036798574431604,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1544855252108617,1.0597063856214402,1.2577416216471962,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,0.9965074423630483,0.9064266583320344,1.0955404649199836,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.228972133789423,1.1157780206078778,1.3536496307823611,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,A_main_nonneurologic_sofa,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.0390247142510012,0.9195418156148341,1.1740329134488998,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1294028119746022,1.0421078321359245,1.2240102917965265,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3828912295647149,1.283985217529968,1.4894160202918176,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3738915575516124,1.25591962117216,1.502944917884079,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1181223137077192,1.0464831962826497,1.1946656313757296,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1153606028883514,1.039049458622725,1.197276283772329,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.148150199639347,1.0544247699447211,1.2502066705062158,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,0.9970874798550339,0.9069449782285272,1.096189367987386,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.2258070247997945,1.1135166398984917,1.349421111646344,converged
365-day same-system ICU readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.0378275998113107,0.9191171166820672,1.171870382327655,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1299966781637585,1.0426411083994769,1.2246711570976165,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3582491080726466,1.2606070156444464,1.4634542063348916,converged
365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3484531573690957,1.2321622989209151,1.47571948858613,converged
90-day same-system readmission,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1140188313438817,1.0426351169086827,1.190289811327621,converged
